status,local_path,original,timestamp,mimetype,bytes,sha256,archive_url,error
cached,asal-usul-tahun-baru-masehi-sejarah-yang-mencerahkan/happy-new-year/index.html,https://bikinlaper.com/asal-usul-tahun-baru-masehi-sejarah-yang-mencerahkan/happy-new-year/,20251007064551,text/html,87128,b0e5311ae709426907553b815369fe5aca558ec0dcb051b67cfc1595ee8510f8,https://web.archive.org/web/20251007064551id_/https://bikinlaper.com/asal-usul-tahun-baru-masehi-sejarah-yang-mencerahkan/happy-new-year/,
cached,asal-usul-tahun-baru-masehi-sejarah-yang-mencerahkan/index.html,https://bikinlaper.com/asal-usul-tahun-baru-masehi-sejarah-yang-mencerahkan/,20250807041836,text/html,157178,c8bfec109b858dd7aa11bcaedcf2b7ac7b943d04fcb1501d3b999d22aaaba561,https://web.archive.org/web/20250807041836id_/https://bikinlaper.com/asal-usul-tahun-baru-masehi-sejarah-yang-mencerahkan/,
cached,asam-folat-manfaat-di-makanan-apa-sajakah-bisa-di-temukan/asam-folat-jpg/index.html,https://bikinlaper.com/asam-folat-manfaat-di-makanan-apa-sajakah-bisa-di-temukan/asam-folat-jpg/,20250421152430,text/html,87958,f8be0050549461e686364fe08a18f5fd8ac1db22106d01f1e3efaa8ba8f7cec6,https://web.archive.org/web/20250421152430id_/https://bikinlaper.com/asam-folat-manfaat-di-makanan-apa-sajakah-bisa-di-temukan/asam-folat-jpg/,
cached,asam-folat-manfaat-di-makanan-apa-sajakah-bisa-di-temukan/index.html,https://bikinlaper.com/asam-folat-manfaat-di-makanan-apa-sajakah-bisa-di-temukan/,20250807042732,text/html,163379,745e042a802801f91bc976d6013dea352c59b07f1527a0c12aaa1423c2bb90f2,https://web.archive.org/web/20250807042732id_/https://bikinlaper.com/asam-folat-manfaat-di-makanan-apa-sajakah-bisa-di-temukan/,
cached,attachment-sitemap.xml,https://bikinlaper.com/attachment-sitemap.xml,20241123000446,text/xml,37884,ec78c18f1536f9de663b53a9de569ad739f9589227a23348cd85f1e812f8ffa3,https://web.archive.org/web/20241123000446id_/https://bikinlaper.com/attachment-sitemap.xml,
cached,author-sitemap.xml,https://bikinlaper.com/author-sitemap.xml,20241122224156,text/xml,728,4d7f79077559d4cccd353037bf8e88a053b92523e5278752a2665b92df836107,https://web.archive.org/web/20241122224156id_/https://bikinlaper.com/author-sitemap.xml,
cached,author/admin/feed.xml,https://bikinlaper.com/author/admin/feed/,20231211145732,application/rss+xml,99858,b3990710138ef96d3628598cd3fc8d0b736f547b33811e1ea90303a76f745be0,https://web.archive.org/web/20231211145732id_/https://bikinlaper.com/author/admin/feed/,
cached,author/admin/index.html,https://bikinlaper.com/author/admin/,20250613124200,text/html,92158,a8afb02842f9f3415f62494845d2828b323cb16309a8d0e71b81c179c6031e01,https://web.archive.org/web/20250613124200id_/https://bikinlaper.com/author/admin/,
cached,author/admin/page/2/index.html,https://bikinlaper.com/author/admin/page/2/,20250807042314,text/html,92848,75e5a27f6b0fa6176cf0ebb5a72098ea88b9df696b9edaad10c8667328d3f362,https://web.archive.org/web/20250807042314id_/https://bikinlaper.com/author/admin/page/2/,
cached,author/admin/page/3/index.html,https://bikinlaper.com/author/admin/page/3/,20251009151511,text/html,92279,8c4ed92b149431077db7649b1f302599b98f0cea2860c28e4b210569ca8fe611,https://web.archive.org/web/20251009151511id_/https://bikinlaper.com/author/admin/page/3/,
